customer_id,full_name,gender,age,state,job_classification,date_joined,balance,marital,education,houseloan,otherloan,contact,poutcome,loan_default,month_num,month_name
1,Christy  Olson,Male,21,California,White Collar,2017-01-05,169864.42,married,primary,no,no,cellular,unknown,no,1,January
2,Dan  Peterson,Female,34,Oregon,Blue Collar,2017-01-06,55102.6,married,secondary,yes,yes,cellular,failure,no,1,January
3,Mable  Lindsey,Male,46,California,White Collar,2017-01-07,151546.03,single,tertiary,yes,no,cellular,failure,no,1,January
4,Kyle  Carr,Male,32,Wyoming,White Collar,2017-01-08,2120.19,married,tertiary,yes,yes,unknown,unknown,no,1,January
5,Rachel  Gomez,Female,38,California,Blue Collar,2017-01-09,53192.24,married,secondary,yes,no,unknown,unknown,no,1,January
6,Isabel  Cross,Female,30,Wyoming,Blue Collar,2017-01-09,182750.42,single,tertiary,no,no,cellular,failure,no,1,January
7,Billie  Chandler,Female,34,California,Blue Collar,2017-01-11,63998.28,married,tertiary,yes,no,cellular,other,no,1,January
8,Sylvester  Morales,Female,48,Nevada,Other,2017-01-11,54745.04,married,secondary,yes,no,cellular,unknown,no,1,January
9,Rachel  Gomez,Female,33,Wyoming,White Collar,2017-01-11,110870.69,married,tertiary,yes,no,unknown,unknown,no,1,January
10,Beth  Tucker,Male,42,California,White Collar,2017-01-12,16285.76,married,primary,yes,yes,cellular,failure,no,1,January
11,Shari  Silva,Male,40,California,White Collar,2017-01-12,59204.24,married,secondary,yes,no,unknown,unknown,no,1,January
12,Drew  Rogers,Male,39,California,White Collar,2017-01-12,48180.04,married,secondary,yes,no,cellular,unknown,no,1,January
13,Arturo  Francis,Male,24,California,White Collar,2017-01-12,60866.63,married,tertiary,no,no,cellular,unknown,no,1,January
14,Mable  Lindsey,Male,46,Nevada,Other,2017-01-12,72821.6,single,secondary,no,no,cellular,unknown,yes,1,January
15,Shari  Silva,Female,36,Wyoming,Other,2017-01-12,4246.33,married,secondary,yes,yes,cellular,failure,no,1,January
16,Rachel  Gomez,Male,42,California,White Collar,2017-01-14,3158.0,married,tertiary,no,yes,cellular,unknown,no,1,January
17,Jenny  Garcia,Female,31,Nevada,Other,2017-01-14,15455.7,married,secondary,no,no,cellular,unknown,no,1,January
18,Colleen  Warren,Female,42,Nevada,Other,2017-01-14,5672.69,single,tertiary,yes,no,cellular,failure,no,1,January
